11 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([16, 31, 19, 4, 16, 2])
15 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([23, 8, 19, 1, 26, 7])
9 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([37, 15, 8, 3, 11, 8])
14 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([8, 10, 12, 7, 35, 9])
10 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([26, 12, 9, 2, 8, 7])
17 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([9, 3, 14, 4, 21, 0])
16 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([18, 5, 6, 2, 4, 4])
0 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([6, 0, 11, 0, 0, 0])
13 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([4, 0, 1, 0, 10, 2])
12 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([0, 3, 2, 0, 12, 0])
23 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([4, 0, 11, 0, 0, 0])
8 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([2, 4, 0, 2, 2, 4])
1 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([2, 0, 7, 0, 0, 0])
20 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([7, 0, 2, 0, 0, 0])
21 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([7, 0, 1, 0, 0, 0])
19 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([6, 0, 0, 0, 0, 0])
3 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([5, 0, 0, 0, 0, 0])
22 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([0, 0, 2, 0, 0, 0])
2 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([2, 0, 0, 0, 0, 0])
18 dict_values(['Raphaël', 'Romain', 'Marius', 'Maël', 'Maëlan', 'Benjamin', 'Raphaël', 'Marius', 'Romain', 'Maëlan']) dict_values([1, 0, 0, 0, 0, 0])
